Model_Name,Validation_Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Training_Time(s)
Baseline_CNN,0.99225,0.992224220271716,0.9921145521580585,0.9921634393039028,336
Baseline_CNN,0.99375,0.9937701801867032,0.993655885546976,0.9937058522074157,165
Refined_CNN,0.99575,0.9957308105388577,0.9956938313802188,0.995710467891497,1047
